doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,cached,dataset,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio
027b8980b7e944cf8da2cb1b,train,0.6316,0.7,0.0684,0.002821,0.01431,True,docile,63,1,91.51,0.048,10.8,0,987.6,0.0635,-1.0,223.5,False,0.047619047619047616,0.1764705882352941,0.14480167523083862,0.47058823529411764,10.732323232323232,0.0,0.0,0.0,0.2698412698412698,1.2941176470588236
031ef81c70234fff8f3ba2df,train,0.4,0.4545,0.0545,0.002848,0.015645,True,docile,87,1,73.56,0.252,30.6,0,2080.0,0.1492,-1.0,214.5,False,0.034482758620689655,0.16827852998065765,0.2467701826325019,0.5238095238095238,13.81578947368421,0.0,0.0,0.0,0.2413793103448276,1.2479474548440066
01306f143c9142899afc2e6c,train,0.5217,0.6957,0.1739,0.003196,0.016635,True,docile,172,1,83.3,0.134,22.5,0,2268.0,0.161,-1.0,228.0,False,0.12209302325581395,0.19747416762342138,0.40229951288885507,0.6451612903225806,19.183168316831683,0.0,0.0,0.0,0.18023255813953487,1.3267651888341543
03d02e829a1f4728b1832e06,train,0.5882,0.5333,-0.0549,0.002962,0.01352,True,docile,159,1,85.82,0.071,17.3,0,1832.8,0.1164,1.0,223.5,False,0.13836477987421383,0.19653893695920888,0.13948991523452975,0.5,18.939393939393938,0.0,0.0,0.0,0.18867924528301888,1.2941176470588236
00c26149c99647a088299e3b,train,0.4615,0.5455,0.0839,0.002973,0.01442,True,docile,162,1,72.83,0.253,26.9,0,3248.0,0.1996,1.0,223.5,False,0.12345679012345678,0.17841409691629956,0.4120438503843433,0.5151515151515151,20.833333333333332,0.0,0.0,0.0,0.2037037037037037,1.2941176470588236
02a50adccac54a569011f167,train,0.6,0.6667,0.0667,0.004303,0.021605,True,docile,273,1,87.25,0.077,19.5,0,2130.7,0.1473,1.0,237.6,False,0.12454212454212454,0.20634920634920637,0.15415568798883375,0.8478260869565217,27.315914489311165,0.0,0.0,0.0,0.1684981684981685,1.293394777265745
015f35badb50413fab2ea1be,train,0.3333,0.6,0.2667,0.005398,0.03349,True,docile,1000,1,92.02,0.024,12.5,0,5295.3,0.2385,-1.0,223.5,False,0.079,0.19164430816404754,0.11521856781397431,0.8739495798319328,25.042087542087543,0.0,0.0,0.0,0.119,3.8823529411764706
03cac5639aa8477faf58654d,train,0.8,0.7368,-0.0632,0.002735,0.01575,True,docile,207,1,84.18,0.108,21.4,0,3325.4,0.2016,1.0,223.8,False,0.10628019323671498,0.16842961757526445,0.3540349336763079,0.5625,20.1765447667087,0.0,0.0,0.0,0.15458937198067632,1.2925835370823147
003568b1286f4dab953fc2d5,train,0.5217,0.5455,0.0237,0.003355,0.01937,True,docile,293,1,86.92,0.094,17.8,0,1908.3,0.1674,1.0,237.6,False,0.05460750853242321,0.16169977924944814,0.44058576651137343,0.6101694915254238,17.517814726840857,0.0,0.0,0.0,0.20136518771331058,2.8090075062552127
049aa72bba734a3ab34c04c2,train,0.4286,0.3077,-0.1209,0.002897,0.01593,True,docile,305,1,87.69,0.096,17.8,0,2965.1,0.1566,-1.0,223.5,False,0.15081967213114755,0.19882659713168188,0.12890677147656263,0.6666666666666666,26.515151515151516,0.0,0.0,0.0,0.1377049180327869,1.2941176470588236
