doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,cached,tier_label
X51005268472,train,0.75,1.0,0.25,0.002142,0.011455,False,large-required
X00016469669,train,0.75,1.0,0.25,0.001941,0.009085,False,large-required
X00016469622,train,0.5,0.75,0.25,0.001983,0.009425,False,large-required
X51005200938,train,1.0,1.0,0.0,0.002213,0.011095,False,small-sufficient
X51005306399,train,0.75,0.75,0.0,0.001937,0.0091,False,small-sufficient
X51005301661,train,0.75,0.75,0.0,0.002268,0.01154,False,small-sufficient
X51005303661,train,0.75,0.75,0.0,0.002269,0.011545,False,small-sufficient
X51005301659,train,0.75,0.75,0.0,0.001901,0.010355,False,small-sufficient
X51005301667,train,0.5,0.5,0.0,0.002258,0.011515,False,small-sufficient
X00016469612,train,0.5,0.75,0.25,0.00208,0.0099,False,large-required
X00016469623,train,0.5,0.5,0.0,0.002301,0.01138,False,small-sufficient
X00016469672,train,0.5,0.75,0.25,0.002241,0.01121,False,large-required
X51005255805,train,0.5,0.75,0.25,0.002038,0.00964,False,large-required
X51005268262,train,0.75,0.75,0.0,0.002087,0.010655,False,small-sufficient
X51005268200,train,1.0,1.0,0.0,0.002217,0.011465,False,small-sufficient
X51005230617,train,0.75,1.0,0.25,0.002265,0.01128,False,large-required
X00016469676,train,0.5,1.0,0.5,0.001901,0.00964,False,large-required
X00016469619,train,0.25,0.75,0.5,0.001932,0.01013,False,large-required
X51005337872,train,0.75,0.75,0.0,0.002016,0.009715,False,small-sufficient
X51005361895,train,0.75,1.0,0.25,0.001994,0.00965,False,large-required
X51005361900,train,0.75,0.75,0.0,0.00211,0.01046,False,small-sufficient
X51005361907,train,0.75,0.75,0.0,0.002265,0.011405,False,small-sufficient
X51005361897,train,0.75,0.75,0.0,0.00206,0.01013,False,small-sufficient
X51005361883,train,1.0,1.0,0.0,0.002091,0.01027,False,small-sufficient
X51005361898,train,0.75,0.75,0.0,0.002092,0.01031,False,small-sufficient
X51005433492,train,0.5,1.0,0.5,0.002029,0.010385,False,large-required
X51005361946,train,0.75,0.75,0.0,0.002235,0.01096,False,small-sufficient
X51005433514,train,0.75,1.0,0.25,0.001875,0.010445,False,large-required
X51005433494,train,0.75,0.5,-0.25,0.002092,0.01025,False,small-sufficient
X51005268400,train,0.5,0.5,0.0,0.00203,0.01004,False,small-sufficient
X51005433538,train,0.75,1.0,0.25,0.002035,0.010445,False,large-required
X51005433533,train,1.0,1.0,0.0,0.002397,0.01223,False,small-sufficient
X51005361950,train,0.25,0.75,0.5,0.001967,0.009145,False,large-required
X51005433522,train,0.5714,0.8571,0.2857,0.00187,0.010445,False,large-required
X51005433541,train,0.75,1.0,0.25,0.002028,0.01038,False,large-required
X51005433552,train,0.5,0.5,0.0,0.002022,0.0098,False,small-sufficient
