f1_small,f1_large,gap,cost,cached,doc_id,dataset,split,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio
0.6666666666666665,0.75,0.08333333333333348,0.010615,False,UK_275,poie,train,23,1,62.04,0.462,25.1,0,2406.4,0.2646,-1.0,44.0,False,0.0,0.14375000000000002,0.25459778386195747,0.0,38.46153846153846,0.0,0.0,0.0,0.5217391304347826,0.7878787878787878
1.0,1.0,0.0,0.013751000000000001,False,nf3679,poie,train,35,1,75.35,0.235,27.2,0,6901.8,0.2379,1.0,36.5,False,0.0,0.1346153846153846,0.22035395178371156,0.06666666666666667,57.915057915057915,0.0,0.0,0.0,0.42857142857142855,1.2758620689655173
1.0,1.0,0.0,0.015602000000000001,False,NZL_53,poie,train,30,1,70.24,0.316,27.9,0,2477.0,0.1654,1.0,41.8,False,0.0,0.12658227848101264,0.13120267210166853,0.09090909090909091,37.16216216216216,0.0,0.0,0.0,0.36666666666666664,0.8409090909090909
0.4,0.42857142857142855,0.028571428571428525,0.013301,False,UK_448,poie,train,32,1,77.03,0.167,26.6,0,5699.2,0.261,1.0,40.9,False,0.0,0.13445378151260504,0.2217559604088715,0.09090909090909091,37.931034482758626,0.0,0.0,0.0,0.34375,0.7268170426065163
0.6,0.7000000000000001,0.10000000000000009,0.015709,False,UK_669,poie,train,38,1,54.62,0.442,34.2,0,2033.3,0.0925,1.0,42.5,False,0.0,0.11728395061728394,0.1764616641947302,0.0,49.83388704318937,0.0,0.0,0.0,0.39473684210526316,0.7525
0.8333333333333334,0.7692307692307692,-0.06410256410256421,0.017619,False,UK_28,poie,train,51,1,72.45,0.242,30.9,0,2492.4,0.2379,1.0,37.8,False,0.0,0.18085106382978725,0.24309716509508744,0.6666666666666666,55.97014925373134,0.0,0.0,0.0,0.29411764705882354,0.6907216494845361
0.2727272727272727,0.09090909090909091,-0.1818181818181818,0.016593,False,SGP_64,poie,train,48,1,50.68,0.528,27.4,0,8179.9,0.3056,1.0,27.9,False,0.0,0.1273209549071618,0.1748562581088232,0.3125,80.8080808080808,0.0,0.0,0.0,0.3333333333333333,0.8497854077253219
0.888888888888889,0.888888888888889,0.0,0.011634,False,UK_191,poie,train,7,1,83.0,0.128,20.5,0,6263.9,0.2193,1.0,30.2,False,0.0,0.02554744525547445,0.02564910725427412,0.0,32.71028037383178,0.0,0.0,0.0,1.0,0.5706666666666667
1.0,1.0,0.0,0.015705,False,NZL_66,poie,train,33,1,64.51,0.319,26.0,0,1070.2,0.1274,-10.0,51.2,False,0.0,0.13924050632911392,0.13925880748319885,0.18181818181818182,30.303030303030305,0.0,0.0,0.0,0.3333333333333333,0.9477806788511749
1.0,1.0,0.0,0.013629,False,nf3068,poie,train,22,1,94.68,0.0,1.8,0,323.1,0.2085,-1.0,157.1,False,0.0,0.11827956989247311,0.3101891436386297,0.0,9.883198562443846,0.0,0.0,0.0,0.5,1.3187203791469195
