doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,tier_label
receipt_00000,train,0.3239,0.3239,0.0,0.008269,0.024855,small-sufficient
receipt_00001,train,0.56,0.5833,0.0233,0.00395,0.011268,large-required
receipt_00002,train,0.5238,0.4545,-0.0693,0.004306,0.010911,small-sufficient
receipt_00003,train,0.5,0.5,0.0,0.002738,0.008217,small-sufficient
receipt_00004,train,0.2,0.3333,0.1333,0.002923,0.006852,large-required
receipt_00005,train,0.619,0.619,0.0,0.00348,0.010458,small-sufficient
receipt_00006,train,0.2963,0.4286,0.1323,0.002716,0.008541,large-required
receipt_00007,train,0.125,0.125,0.0,0.002497,0.006534,small-sufficient
receipt_00008,train,0.2,0.7273,0.5273,0.002613,0.007422,large-required
receipt_00009,train,0.5,0.5,0.0,0.002161,0.006486,small-sufficient
receipt_00010,train,0.375,0.2353,-0.1397,0.002473,0.006702,small-sufficient
receipt_00011,train,0.6316,0.6316,0.0,0.003245,0.009738,small-sufficient
receipt_00012,train,0.5143,0.5,-0.0143,0.0031,0.009633,small-sufficient
receipt_00013,train,0.6471,0.6875,0.0404,0.003171,0.008931,large-required
receipt_00014,train,0.2963,0.4615,0.1652,0.003375,0.008013,large-required
receipt_00015,train,0.4706,0.5294,0.0588,0.003894,0.009465,large-required
receipt_00016,train,0.3077,0.1538,-0.1538,0.001954,0.005985,small-sufficient
receipt_00017,train,0.6,0.6,0.0,0.003483,0.008652,small-sufficient
receipt_00018,train,0.2222,0.25,0.0278,0.002726,0.006396,large-required
receipt_00019,train,0.625,0.7407,0.1157,0.005446,0.017046,large-required
receipt_00020,train,0.3571,0.3684,0.0113,0.003121,0.010926,small-sufficient
receipt_00021,train,0.3429,0.5143,0.1714,0.003919,0.00954,large-required
receipt_00022,train,0.125,0.375,0.25,0.002444,0.00642,large-required
receipt_00023,train,0.1,0.2857,0.1857,0.002361,0.007416,large-required
receipt_00024,train,0.3636,0.5455,0.1818,0.003768,0.009207,large-required
receipt_00025,train,0.4,0.4,0.0,0.002041,0.005526,small-sufficient
receipt_00026,train,0.2353,0.3333,0.098,0.00229,0.007173,large-required
receipt_00027,train,0.0,0.3077,0.3077,0.002245,0.006303,large-required
receipt_00028,train,0.1176,0.2222,0.1046,0.002162,0.006849,large-required
receipt_00029,train,0.6154,0.6154,0.0,0.003261,0.008226,small-sufficient
receipt_00030,train,0.2105,0.2,-0.0105,0.002636,0.007191,small-sufficient
receipt_00031,train,0.4167,0.56,0.1433,0.003011,0.008091,large-required
receipt_00032,train,0.5,0.5,0.0,0.002167,0.005784,small-sufficient
receipt_00033,train,0.2857,0.6842,0.3985,0.002948,0.009897,large-required
receipt_00034,train,0.2857,0.4286,0.1429,0.002091,0.006231,large-required
receipt_00035,train,0.4286,0.5333,0.1048,0.002313,0.006387,large-required
